"origin","destination"
"Political science","Geography"
"Political science","History"
"Political science","Geography"
"Political science","Geography"
"Chemistry","Environmental science"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Psychology","Business"
"Psychology","Computer science"
"Psychology","Computer science"
"Psychology","Psychology"
"Psychology","Business"
"Psychology","Philosophy"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Computer science"
"Psychology","Computer science"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Computer science"
"Psychology","Psychology"
"Psychology","Business"
"Psychology","Computer science"
"Psychology","Computer science"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Computer science"
"Psychology","Computer science"
"Psychology","Business"
"Business","Business"
"Business","Computer science"
"Business","Computer science"
"Business","Business"
"Business","Business"
"Business","Computer science"
"Business","Computer science"
"Business","Business"
"Business","Business"
"Business","Business"
"Business","Computer science"
"Business","Computer science"
"Psychology","Medicine"
"Psychology","Computer science"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Psychology"
"Art","Sociology"
"Art","Political science"
"Art","Psychology"
"Art","Psychology"
"Art","Psychology"
"Art","Psychology"
"Art","Sociology"
"Art","Psychology"
"Art","Political science"
"Art","Sociology"
"Art","Philosophy"
"Art","Psychology"
"Art","Computer science"
"Art","Sociology"
"Art","Philosophy"
"Art","Political science"
"Art","Psychology"
"Art","Political science"
"Art","Psychology"
"Art","Sociology"
"Art","Political science"
"Art","Philosophy"
"Art","Psychology"
"Art","Political science"
"Art","Political science"
"Computer science","Psychology"
"Computer science","Political science"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Physics"
"Computer science","Political science"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Political science"
"Computer science","Physics"
"Computer science","Physics"
"Computer science","Computer science"
"Computer science","History"
"Computer science","Political science"
"Computer science","Physics"
"Computer science","Computer science"
"Biology","Biology"
"Biology","History"
"Biology","Geology"
"Biology","Chemistry"
"Biology","Physics"
"Biology","Geology"
"Biology","Engineering"
"Biology","Geology"
"Biology","Materials science"
"Biology","Geology"
"Biology","Chemistry"
"Biology","Geology"
"Biology","Chemistry"
"Biology","Geology"
"Biology","Chemistry"
"Biology","Physics"
"Biology","Geology"
"Biology","Engineering"
"Biology","Biology"
"Biology","Physics"
"Biology","Chemistry"
"Biology","Environmental science"
"Biology","Physics"
"Biology","Physics"
"Biology","Engineering"
"Biology","Engineering"
"Biology","Chemistry"
"Biology","Biology"
"Biology","Physics"
"Biology","Psychology"
"Biology","Materials science"
"Biology","Chemistry"
"Biology","Chemistry"
"Biology","Geology"
"Biology","Chemistry"
"Biology","Materials science"
"Biology","Chemistry"
"Biology","Chemistry"
"Biology","Chemistry"
"Biology","Physics"
"Biology","Chemistry"
"Biology","Chemistry"
"Biology","Materials science"
"Biology","Physics"
"Biology","Chemistry"
"Biology","Chemistry"
"Biology","Geology"
"Biology","Physics"
"Biology","Chemistry"
"Biology","Chemistry"
"Biology","Physics"
"Biology","Biology"
"Biology","Physics"
"Biology","Environmental science"
"Biology","Geography"
"Biology","Materials science"
"Biology","Physics"
"Biology","Environmental science"
"Biology","Physics"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Materials science"
"Biology","Biology"
"Biology","Chemistry"
"Biology","Chemistry"
"Biology","Physics"
"Biology","Physics"
"Biology","Environmental science"
"Biology","Physics"
"Biology","Biology"
"Biology","Environmental science"
"Biology","Environmental science"
"Biology","Biology"
"Biology","Geology"
"Biology","Geology"
"Biology","Environmental science"
"Biology","Geology"
"Biology","Geology"
"Biology","Geology"
"Biology","Geology"
"Biology","Environmental science"
"Biology","Philosophy"
"Biology","Materials science"
"Biology","Geology"
"Biology","Chemistry"
"Biology","Geology"
"Biology","Biology"
"Psychology","Psychology"
"Psychology","Medicine"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Political science"
"Political science","Psychology"
"Political science","History"
"Political science","Political science"
"Political science","History"
"Political science","History"
"Political science","Political science"
"Political science","Sociology"
"Political science","Psychology"
"Political science","Psychology"
"Political science","History"
"Political science","Psychology"
"Political science","Political science"
"Political science","History"
"Political science","Political science"
"Political science","Psychology"
"Political science","Political science"
"Political science","Psychology"
"Political science","Political science"
"Political science","Political science"
"Political science","Psychology"
"Political science","Political science"
"Political science","Psychology"
"Political science","Political science"
"Political science","History"
"Political science","Art"
"Political science","Political science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Psychology"
"Computer science","Psychology"
"Computer science","Psychology"
"Medicine","Medicine"
"Medicine","Medicine"
"Medicine","Psychology"
"Medicine","Medicine"
"Medicine","Psychology"
"Medicine","Psychology"
"Medicine","Medicine"
"Medicine","Psychology"
"Art","Art"
"Art","Sociology"
"Art","Art"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Computer science"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Psychology","Psychology"
"Psychology","Sociology"
"Psychology","Psychology"
"Psychology","Political science"
"Psychology","Sociology"
"Psychology","Political science"
"Psychology","Psychology"
"Psychology","Political science"
