"origin","destination"
"Physics","History"
"Physics","Physics"
"Physics","Physics"
"Physics","Physics"
"Physics","Physics"
"Physics","Physics"
"Physics","Physics"
"Physics","Physics"
"Physics","Physics"
"Philosophy","History"
"Philosophy","History"
"Philosophy","Philosophy"
"Philosophy","Art"
"Philosophy","Philosophy"
"Philosophy","Art"
"Philosophy","Philosophy"
"Philosophy","Philosophy"
"Philosophy","History"
"Philosophy","Sociology"
"Philosophy","History"
"Philosophy","Philosophy"
"Philosophy","Art"
"Philosophy","Art"
"Philosophy","Art"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Medicine"
"Chemistry","Biology"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Chemistry"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Medicine"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Medicine"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Biology"
"Chemistry","Medicine"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Medicine"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Medicine"
"Chemistry","Medicine"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Chemistry"
"Psychology","Chemistry"
"Psychology","Chemistry"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Chemistry"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Chemistry"
"Psychology","Chemistry"
"Psychology","Medicine"
"Psychology","Chemistry"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Chemistry"
"Psychology","Medicine"
"Psychology","Computer science"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Chemistry"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Chemistry"
"Psychology","Chemistry"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Chemistry"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Biology"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Medicine"
"Psychology","Chemistry"
"Psychology","Biology"
"Psychology","Psychology"
"Psychology","Medicine"
"Psychology","Medicine"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Physics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Computer science"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Computer science"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Physics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Geology"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Computer science"
"Mathematics","Mathematics"
"Mathematics","Computer science"
"Mathematics","Physics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Computer science"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Mathematics","Mathematics"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Medicine"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Psychology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Medicine"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Medicine"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Psychology"
"Chemistry","Medicine"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Psychology"
"Chemistry","Biology"
"Chemistry","Psychology"
"Chemistry","Psychology"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Chemistry","Chemistry"
"Chemistry","Chemistry"
"Chemistry","Mathematics"
"Chemistry","Chemistry"
"Chemistry","Biology"
"Computer science","Medicine"
"Computer science","Computer science"
"Computer science","Computer science"
"Computer science","Biology"
"Computer science","Medicine"
"Computer science","Biology"
"Computer science","Biology"
"Computer science","Biology"
"Computer science","Biology"
"Computer science","Medicine"
"Computer science","Biology"
"Computer science","Medicine"
"Computer science","Computer science"
"Computer science","Biology"
"Computer science","Psychology"
"Computer science","Computer science"
"Computer science","Physics"
"Computer science","Computer science"
"Computer science","Medicine"
"Computer science","Computer science"
"Computer science","Mathematics"
"Computer science","Computer science"
"Computer science","Biology"
"Computer science","Medicine"
"Sociology","Art"
"Sociology","Philosophy"
"Sociology","Sociology"
"Sociology","Philosophy"
"Sociology","Philosophy"
"Sociology","Philosophy"
"Sociology","Psychology"
"Sociology","Philosophy"
"Art","Philosophy"
"Geology","Environmental science"
"Geology","Chemistry"
"Geology","Geology"
"Geology","Environmental science"
"Geology","Environmental science"
"Geology","Geology"
"Geology","Geology"
"Geology","Geology"
"Geology","History"
"Geology","Biology"
"Geology","Geology"
"Geology","Geology"
"Geology","Geology"
"Geology","Geology"
"Geology","Geology"
"Geology","Geology"
"Geology","Geology"
"Geology","Geology"
"Geology","Geology"
